system,lyap_max,kaplan_yorke_dim,correlation_dim_pub,multiscale_entropy,period,dim,lyap_time_per_step,autocorr_time,perm_entropy,wpe,wpe_x,k01,perm_entropy_naive,wpe_naive,k01_naive,spectral_entropy,corr_dim_ours,fsle_small,fsle_large,fsle_ratio,fsle_log_range,wall_s
CaTwoPlus,0.5802865327706731,2.0647813731079956,1.2267327876216785,0.5770296569860646,1.343,3,0.007793248135110139,16.0,0.6188676906157828,0.6005335743489987,0.5822962210268396,0.9711119859040932,0.20646180346395968,0.1381300521826575,-0.002274203101887408,0.42758094383870043,1.4380571384858034,1.0955992063096256,0.4927929911893948,2.223244295064567,0.7989675232601663,9.67
ChenLee,0.16363115430160305,2.0300416878282137,1.2279387897055603,0.6224325755254609,2.8043,3,0.004588708460079854,8.0,0.6350387190169098,0.6565237579655244,0.7297727511179567,0.749284361839732,0.2456066159106047,0.1753542386621001,-0.005867588422126443,0.411852583554317,1.289112140136261,0.5046921437738412,0.32835998327896215,1.5370086778968859,0.6591400099572543,10.18
Arneodo,0.23737468667051287,2.198607392233255,1.9333366595280337,0.7388404221540498,3.1641,3,0.007510772460941699,19.0,0.8207225462462793,0.785604355988076,0.952739237409375,0.9846892355294675,0.21868157683962688,0.14591493182676493,-0.0020099713631947904,0.4654600734940105,2.0649302732485677,0.3599115151279477,0.1511235243745059,2.3815717415115003,0.867760665311238,8.88
ArnoldWeb,0.06514413995171335,22.554733912627043,2.271925873318733,0.620621428966386,67.25,5,0.043809434117527225,1.0,0.378227962027687,0.3687409165969397,0.8940576838921019,-0.03859670694428574,0.08750957381366753,0.05887759040533218,-0.04343889808721963,0.27198349212726036,2.2751307086286965,0.7214914890586792,0.007641434280687145,94.41833333333335,4.54773526333487,19.82
AtmosphericRegime,0.010543274932274862,2.1859596374283137,1.0906156314277713,0.4278776303819699,89.59496756697331,3,0.009446243756068489,13.0,0.60576403905309,0.6374603870157803,0.5081764628104606,0.9915696423930993,0.5054686171005426,0.5653367065568262,0.9964854579832745,0.5199896660831574,1.094354702855202,0.030842998653475742,0.02384114687903492,1.2936877076411961,0.3269644207864433,9.0
BeerRNN,0.038767800131815223,2.0303797735862443,1.4274264497038096,0.5244807630539362,181.58,3,0.07039457147935009,6.0,0.8134941586797537,0.7937102724285311,0.810515538426833,0.9847985967157442,0.4418464340372022,0.254989473650439,0.27628737033674744,0.572024405944526,1.535894630921591,0.013386242557808117,0.0104727302315545,1.2781998831092924,0.6070850205376477,8.27
Bouali2,0.07681730213975516,16.471858210544983,1.925056080468132,0.4520009826326611,7.6779,3,0.0058979556409882615,229.0,0.6942178244902307,0.6807095882843602,0.8265280292983763,0.8942330798928348,0.2535174816674699,0.19538331502362663,0.01836874155290169,0.3866741732917276,2.0176311143094194,0.05488037968841652,0.03403300750971796,1.612563323201621,0.47782503911929197,8.17
BurkeShaw,2.324596351534631,2.2113447891991065,2.0538157998881426,0.906432166797223,0.78333,3,0.018209260600476222,14.0,0.8102297631564775,0.7835380503227741,0.856096359910683,0.9989424362454906,0.24432516633021958,0.15194273820253476,0.01726383573516688,0.6382267111847222,2.154783753826084,1.5275234391829693,1.3480347948030122,1.13314837648993,0.33831715306746873,8.62
CellCycle,0.010172128409635746,2.020810681242375,1.7558665560565607,1.021736994304444,204.71,6,0.020823364067365336,20.0,0.737506354410177,0.6836763982759829,0.796772867398702,0.998065346313885,0.2074652620052899,0.13638964258035566,-0.0017819910565798364,0.6085498826526695,1.685388523194354,0.009774814387907638,0.004147386796739253,2.3568610469592,0.8573306688683617,16.75
CellularNeuralNetwork,2.3258468977096562,2.167668286708633,1.7777777253372764,1.2414841874061011,3.2,3,0.074427100726709,36.0,0.884914706576689,0.8457590987424286,0.834226530382349,0.9889314058596188,0.21545652619101605,0.1471777216382341,-0.0014987203690473394,0.40324211934132803,1.6527025509061068,0.0731826658905286,0.18116127175214625,0.4039641871727013,1.599855054489517,9.02
Chen,2.005961349488129,2.168621926035506,2.080398064710209,0.7604529380690989,0.58689,3,0.011772786564010882,16.0,0.7928882617882098,0.7783759027756525,0.8145704998193978,0.9975741396326355,0.23544443854586583,0.14758912958350653,-0.00442720290571433,0.5934834094320941,2.039386607448645,3.4483248794428096,1.6134580207775442,2.1372262773722626,0.7681237361088462,8.3
CoevolvingPredatorPrey,0.00732698039035783,2.0026539580881706,1.453444520919468,1.006450625395487,122.77,3,0.008995333825242308,18.0,0.6064862759690406,0.6129119297049672,0.6640903032008989,0.9932187786572249,0.19887590870268376,0.15732833847028996,0.0756146379452106,0.5023219774186057,1.3642595574432572,0.005439210314005286,0.005136138554412087,1.0590077071290944,0.5553122380428199,8.17
Dadras,0.40591521049520063,2.0430103150081735,1.605056083622306,0.8537980405426894,3.2886,3,0.013348927612345168,15.0,0.745801177965857,0.7419325269196403,0.7723734526208202,0.999055368448869,0.24885367350702126,0.2720467316987292,0.5626304945898997,0.6957476927802451,1.7951338798081669,0.8539594715960455,0.5683758852829246,1.5024554941682016,0.5377347064373538,8.12
DequanLi,0.739747976641268,2.6848604732863537,1.9326161168463631,0.8319369667525882,0.083806,3,0.0006199531893039811,48.0,0.8070108578464286,0.7977312729461139,0.8519489365422634,0.9921305314847498,0.19990503731147943,0.14620845600812246,-0.011129688166368414,0.39191432812488713,2.024153508668981,1.1377994566308163,2.294750331828307,0.4958271236959761,1.0297356093030885,8.16
Duffing,0.14026545752865122,2.561219319140712,2.019134182605584,0.8686568999981737,7.4496,3,0.010449215524054402,15.0,0.6225487905689735,0.6044280736767608,0.9292404118970785,0.9878304568062204,0.1674042026730113,0.09973827370985179,-0.014740633504442218,0.40061386825345363,2.3915109063011535,0.718859904147261,0.18282931529053434,3.931863459669581,1.3691134762673252,10.5
ForcedBrusselator,0.015326007974604663,1.190019824057157,1.616157126800283,0.47299463051887286,20.411,3,0.0031281914876965583,11.0,0.4509815653710126,0.4182492714472914,0.6432362620173803,0.2778271246847782,0.17264947162019575,0.09571269299072423,-0.0024847966788689056,0.1973517651055565,2.333177583112341,0.39538163921896263,0.0158769586526459,24.902857522594367,3.2149825568297925,10.5
ForcedFitzHughNagumo,0.007561278655908403,1.5705852319395741,1.6159744662497548,0.946734422406113,42.12235294117647,3,0.003184988482307582,17.0,0.4903834217793455,0.46840961903241257,0.631140487291271,0.9235812723143395,0.15011861503913615,0.1053850520903727,-0.0008264006841919542,0.3326796508697478,1.9737465881701124,0.17774305294129986,0.04992839397494691,3.5599593495934965,1.6280157230860033,10.82
GenesioTesi,0.10509061137519304,2.1892507433089325,1.9474141853715994,0.7003576241153363,5.9431,3,0.006245640124639098,20.0,0.7117822609239634,0.6639065424995356,0.7055192866674459,0.9318316775011877,0.2135633671065044,0.14323235115909347,0.003802535477326066,0.47958415551317385,1.8073520795841307,0.04460423211910521,0.05643415003030992,0.7903766087581537,0.3508285640709383,8.11
GlycolyticOscillation,0.021594561241816756,1.5520229717346938,1.6403587221370042,0.4632600047939084,50.45999420049144,3,0.010896614350242306,17.0,0.5547134538400268,0.5603696310027669,0.5797499700062323,0.6400355113838725,0.23918194676821636,0.32615394775826234,0.9658412978813673,0.2923226021081648,1.1127175688782018,0.042793049133349734,0.025615979061641512,1.6705607476635518,0.5131593471122109,8.33
Halvorsen,0.6963711539102683,2.118235268907861,1.8842400748281847,0.7527831765757674,1.4889,3,0.010368270110569984,17.0,0.813648918506973,0.7777399856194788,0.7739672405469531,0.9858397303762234,0.25529632138972475,0.15318922691532244,-0.003345680184614791,0.48465032351075726,2.0267162389833477,0.8783832822761964,0.51880736211707,1.6930817610062892,0.5265503955503411,8.14
